hatespeech,subtype,text
1,1,"@ErlandKoec Se bomo počas vsi učil Albansk, če bomo šli h dohtarju pa v pekarno al slaščičarno alp na burek ali zlatarno........🤷‍♂️"
1,4,"@armeni_janez Svobodni Slovenci in narodnjaki smo to že vedeli takrat. 
Ho ho za mohamedance"
0,0,"@Centrifuzija Videl sem okrasek božička na motorju. Žal podnevi. Mislim, da mora to epsko izpast."
1,2,"Zdrava družba temelji na zdravi družini. LGBT agenda spodkopava družino, je evolucijsko nestabilna, asocialna in kot taka ne sodi v šolo."
1,1,Ekspropriirajmo hiše delavcev in kmetov! Vanje naselimo ilegalne migrante! Bodimo človekoljubni!
0,0,"@ZavodPremiki @PeterSvetina Če zdajle pridem, me bo rešilc odpeljal, se moram najprej pozdraviti. Potem pa res pridem."
0,0,"Italijani ne bi bili Italijani, če ne bi brezpogojni univerzalni temeljni dohodek opremili z kupom pogojev in omejitev."
0,0,"Do sedaj smo resda bili tiho in samo jamrali, pa stokali pa jamrali kot cmere nad krivicami, katere so nam... https://t.co/L7SzOxWNq3"
0,0,"@vinkovasle1 @IgorGaberc @zostko @lucijausaj In to velik.Pa kaj cmo  ce so slepi, gluhi in neumni ....."
1,1,"Eritrejec,je v Integracijski hiši večkrat zabodel svojega rojaka in še grozil. Ogroža Slovence,a ga ne bodo izgnali.
V komentarju!"
0,0,"Rudnik brez denarja, Idriji grozi potop https://t.co/tI6lVaSYpP (via @24ur_com) Danes ob 21 v Preverjeno."
0,0,"O, ti prase smrdljivo!!! Pa kdaj ti je to ratalo?! 
Bemu, ko maš #skunk namesto #kuža"
1,4,"Jebeš takega muslimana v Sloveniji,ki se ima za muslija a sploh neve v kateri državi je njihova Meka to so drekači https://t.co/aeR7B48Fft"
0,0,"Mačka mi je v sobo prinesla živo miš. Ker sem miroljubno bitje, bom pustil odprta balkonska vrata, da bo šla ven."
0,0,"@leaathenatabako Razumeti je, da je dal tel st nekoga drugega, da mu pomaga. Ta pa verjetno nima casa klicariti in klicariti in narocati"
1,1,@Delo @kaepernick @Nike @realDonaldTrump @BarbaraKramzar Črnuhar nehvaležni.
1,1,"@Bojana61654450 @tfajon To pa je ciganija, zagotovo pride nekdo ki bo tudi te divjake pospravil"
1,2,"@Gen_ID_SLO Kaj??? Ste res tako nepismeni, da ne vidite da gre v bistvu za ravno obratno stvar...za anti-lgbt propagando !?"
0,0,"@v_p_d_ @strankaSLS Ne. Predrago. Sem hotel zavarovati konja, pa si kljub dobri plači tega nisem mogel privoščiti."
1,4,"Torej muslimani zivijo po svojih zakonih in NE pozakonih drzave ,kjer zivijo. Seveda  prehode pri rdeči luči ze upoštevajo."
1,3,"@RagnarBelial @thenewestaj A nimajo tamoderne sesalcev pod ritjo, metlo pa za #redundancy? 

Smo ja v moderni dobi :D"
0,0,"@JankoBelin @YouTube Ona je edini (do neke mere) pozitiven lik v stranki kleroliberalcev, oportunizma in laži. Zato pa so jo odrezali."
1,1,"Zajc si kot cilj postavlja ""sobivanje z volkovi""...""brez strahu!"".   Praktični multikulti na  tragikomično simbolni vladni način...!"
0,0,"Telefon odpika sogovornika po cca 3min pogovora.

Še vedno nisem prepričan, če je to bug ali feature."
1,4,"@PONOSENSlovenc @Gen_ID_SLO @JJansaSDS Ti raketaši znajo pritisnit samo na gumb, da se izstrelijo med 72. Devic 😂"
0,0,@IgorGaberc @RevijaReporter @DamirCrncec Nobenih papirjev--Pahor praznih rok!
0,0,"Radio 1 zagovarja viralno izbiranje GILF leta, češ, da vsak normalen moški rad pogleda za postavno babico."
1,2,"@Bulsit_detektor Kakšna zakompleksanost in zavist...
Še dobro da imajo psihični bolniki svojo parado ponosa... https://t.co/d5sUkZ9PBg"
0,0,Juha s palačinkami iz polente https://t.co/GtxLHOVqA3 https://t.co/5jyw8q5Hzc
1,2,"@madpixel Dejmo pliz razčistit tole 'pederisanje' – a če v ne-ruralnem buffetu vprašaš, če majo kak ale, je to že to? :)"
0,0,"@ZidanDejan @StudioCity_ @rtvslo Goli otok in Sv. Grgur, ki sta oddaljena zgolj slab streljaj proč, pa namenoma spregledal???"
0,0,@MojCili @MorskaKvacka To pa nau držal. V času od objave tega tvita do zdajle smo ves čas goloritni na parceli. Nobenih rolet ni dol! ;)
0,0,"Bozicni paketki zaviti - bo sla v hladilnik, da ne bom feftala lonca nazaj na glas istre 🤣 https://t.co/fx81PuYIDO"
1,1,"@Alex4Aleksandra @SamoGlavan Slovenci imajo vgrajen sindrom žrtve,  ki zagovarja svojega mučitelja. Res smo čuknjeni."
0,0,Komu najpred veselo kozarec zase vzdignimo Ni take je mladenke prepir iz sveta bo pregnan ki utopi zarod nov Bog kar nas dobrih je ljudi
0,0,@lucijausaj @pikapoka_jelen Kdo ga pa še bere? Reporter gre po sledeh Mladine
1,4,"@SamoGlavan Obvladajo ""parkiranje"" v množico, požiganje, kislina ... in razen v Parizu, so mediji dokaj varni ..."
0,0,"Motoristi, pozor! Novogoriški policisti opozarjajo na previdnost na cesti. https://t.co/bkM4UGj2e6"
1,4,"Ni čudno, da so muslimani ostali v kameni dobi. Razlaga o vesolju to samo potrjuje. https://t.co/G4gIZmd7ph"
1,3,"vete kaj... velik lažje bi se blo za zment, če bi delala med deci.. babe znajo sam zakomplicirat preprosto stvar."
1,4,@Miran7777 tem obrezancem bi blo treba kurce začet stran rezat da se nehajo gonit in plodit k posgane pi Slo.
1,1,"@zarahrusta @metkav1 @BRajgelj @KatarinaJenko Evropejske riti pravijo, da je vsega kriv kolonializem🙃😝🤤"
1,2,"Problem je, ker imajo ubogi v Afriki in širše Pedra O. Mi pa pedre. https://t.co/7Qaq4OInx4"
0,0,@PStendler @DomovinaBog @JJansaSDS @NovaSlovenija Meni se zdi pa neokusno razpošiljati take slike!
0,0,"Od malega čilija, ki sem ga zamenjal za papriko, ne peče nos, ustnice in prsti na rokah. Zdaj me ""puca"" :)"
0,0,"Šampion v goste k Bistričanom, Dravograd gostuje v Lenartu - https://t.co/XNKwxsn3sL https://t.co/3FC7fjTb0V"
1,1,"Kurzevi jodlarji delajo gužvo na slovenskih cestah, ker sprovajajo strogo grenckontrolo, ne pa naš Dars in naši cariniki. #dejstva #promet"
0,0,"@frelih_igor @peterjancic @rokomavh @D_Jasmina Irelevanten in neobjektiven, ki hkrati skoduje ugledu sole."
1,1,@MarkoSket @cikibucka @JozeBiscak Ma naj jih majo se premal bojo te srbjake ven iz velenja nesli ko so si jih zelel
0,0,@bnina_ To so res nebuloze. Mi smo se na veliko crkljali in nič ni bil razvajen. Nasprotno ... 💞
0,0,"Vasev pravi, da se ""skrajni desničar"" laže in da ga Antife niso s kamnom po glavi, ampak z glavo po kamnu. https://t.co/MCQra0MOxp"
0,0,@matjazgregoric @metinalista @romunov Kaj je s strahom pred zapletanjem v lase? Jaz sem to slišal in se mi je vedno zdelo butasto.
0,0,"@msTrcek To imaš pa prav. Kaj pa kako regionalno? Fuži, bograč, bujta repa,..."
0,0,"To so praktikanti državne firme Slovenski državni gozdovi, ki so si jo njihovi mentorji naredili? https://t.co/kKN11MfLQm"
0,0,"CNN ima spet hude napovedi za demokrate. Da ne bo potem spet jok in stok. Upam, da ne bo."
1,1,@phikoss @ZigaTurk @Svarun_K @PStendler @NovaSlovenija nerojeni cigančki #iška so sporočali wermachtu
1,3,"""Ženske s celulitom ne smejo nositi kratkih hlač,"" je rekel tip z birbauhom, ki naokoli hodi brez majice."
1,3,"@nefiltriran @larisaco1 @DC43 Ne morš verjet da ma ena baba tolk skurjene možgane, Bog naj ji pomaga"
0,0,"Nekaj najboljsega je to, da te po 2 mesecih poklice proizvajalec oken ob 20h in rece:""Jutri pridemo montirat okna, pripravite prostor""
WTF?!"
0,0,"@LajnarEU Zdrav šport je tisti,ki prilagodi aktivnost zmogljvosti telesa #nepretiravnanje"
0,0,Odete v glamurozne obleke so naravnost blestele. Katera pa je vam najbolj všeč? https://t.co/tbLvD5TqI9
1,3,"Kaj mi je, odprem golica TV in kar ne morem nehati gledati vedeževanja v živo....kok so pa to dobre bejbe! *Pogledamo še energijo?* #kosmika"
1,1,"@DamjanTomsic @lucijausaj @policija_si Hahaha, izterjava Ciganov. :-D Trganje od otroških dodatkov?"
0,0,"@kricac @dolenand @BokiNachbar @GasperBergant @anzet Ti si grozen, ker objavljaš spoilerje, tako da te je itak treba ignorirati."
0,0,Pravkar igram igro Biathlon Mania. Pridruži se in me poskusi premagati! https://t.co/PKMK0Qw7rr
0,0,@Libertarec @nastja_skopac Levičarski skrajneži v vam ljubih medijih iz ZDA: https://t.co/O4lrumiQCo
0,0,Ponovno. Samo obrnil sem se stran in rdečega gumba ni več. #ptič https://t.co/aq6rbez26O
1,4,@apocalypsedone @NormaMKorosec Briclja ne poznam. Radikalni islamizem je zlo.
0,0,Planica v pričakovanju :) še dobra ura do pevih poletov! #Planica2018 #petek #cenečivka #folksenabira #sonček https://t.co/FOHYG0kFz0
1,3,"@MajaBentura @Tevilevi @PStendler @EPameten Hahaha Maja, Maja! Jajo te je dobro ""napumpal""! Očitno te še ""pumpa""! 😉"
0,0,"@MartinValic @JozeBiscak Saj sodi tja, s Kramžarjem in njegovim fuckin' BMW motorjem vred ali ne?!"
0,0,"Kakšna bolezen je napadla TW. Sledilce kar po vrsti dol mečejo z ""temporaly restricted""."
0,0,"Lahki zajtrk za začetek, dve figi, pol 🍅, kuhano jajce in tri jagode s dve sniti koruznega kruha"
1,1,"Ljubljana Okt.1989 poglejte čifurske ksihte v ozadju ko
propagiram Trilogijo-Romana Leljaka Teharje,Koč.Rog Vetrinje https://t.co/ReozxZ4p0p"
0,0,"@crnkovic Sem ob prašičji farmi. Ko je moj nečak prišel poleti k meni, je rekel da smrdi. Pa ga je njegova babica vprašala če na mizi ne."
0,0,"@Max970 Heh, glavne ofenzive šele prihajajo. Tole, da je vojne konec je smešno."
1,3,Novakova proti Janši..ritka se njej trese..da ne-bi postala Pukšič in morda naredila posel stoletja med Slovenci v Čilu in Argentini..
1,2,"Transseksualni pevec heavy metala na volitvah v Virginiji premagal politika, ki je spisal “protistraniščni zakon” https://t.co/jUmuQtka5V"
0,0,Romana Tomc prinesla vznemirjenje in upanje https://t.co/RAmAsFFNgf via @Nova24TV
0,0,"En dan si še mlad, pol pa dušilec v izpuh nazaj not tlačiš. https://t.co/klWPFPhlYm"
1,1,"Srečata se dva cigana: 
-Kakšen dober pameten telefon imaš. Koliko si pa dal zanj?
-Enemu mulcu dve klofuti."
1,4,Ko strašila obdela bodeča žica se pokažejo kar normalne ženske. https://t.co/w9TxoQSbgT
1,3,"Tip za sosednjo mizo je že tretjič nahrulil svoje dekle, ker si je drznila nekaj tiho pripomniti k debati. #tapraudec #kroznikvglavo"
1,4,@motobrane spraznili bodo pokojninsko blagajno za mohamedance nam pa suh kruh
1,4,"Od strassbourškega pokola do marakeškega obglavljanja skandinavskih mladenk, povsod isti vzrok nasilja. 
ISLAM! 
https://t.co/tFzZGvAqik"
1,3,"@reform_si Sj je. Veliko ritko je stlačila skozi majhno luknjo, da sedi v parlamentu."
1,1,"@JJansaSDS Ojej! Sem se na hitro uščipnila da vem da ne sanjam. Ampak, kako je mogoče, da teh bedakov ne zaprejo v umobolnico???"
1,4,"@SamoGlavan Šimpanza lahko....ker mu ni Mohamed narocil, da se ne sme nauciti."
0,0,#prodam stavbno #zemljisce #parcela z odprtim #pogled na #ptuj in #dravskopolje @ Nepremičnine Ptuj https://t.co/d4yCSuPCPS
1,1,@JoAnnaOfArT @JiriKocica Slofurke so v Sloveniji ta etnocid začele izvajati pred 75 leti s srbjanskimi oficirji.
1,1,Palestinska država je samo evfemizem za skupek terorističnih band. Največjo škodo od nje imajo Palestinci sami.
1,1,Lepo da ste pokazali primarno zahojenega Zlovenca! To bo pomagalo proti podebiljanju Slovenije! @TVDnevnik
0,0,@Rudimentarnik @mesto_knjige Bravo. To bi znalo vzeti mestu nesojeni »igralniški« primat! :)
1,4,"""Večgeneracijske posledice"" migracij iz islamskih držav.... https://t.co/bFQjUoG3FI"
1,4,"Evropski liberalci si še kar zatiskajo oči pred homofobnimi islamisti, ki zagovarjajo srednji vek: https://t.co/UHnGVUauMb"
0,0,"@Adornoisdead to danes je edina šansa v letu, da vidim na domačih tleh, goriške igralce zapuščat igrišče sklonjenih glav."
1,3,"- Dej mi pliz prnes kartico iz torbice, k neki prek neta naročam.
- *prnese vseh tisoč njenih torbic* Na! Kle nek mora bit."
0,0,"@indijanec @BojanPozar Plače da, pokojnine ne! Kdo pa polni proračun, morda veter po tvoje."
1,3,@HanzaVon @strankaSD @AndrejaKatic Feministk tile ne marajo. Ponavadi jim niso dovolj privlačne.
1,4,"Verski skrajneži, militantneži in teroristi vseh dežel, jebo vas lastni Bog!"
1,1,Arabski kriminalci v Sloveniji spet ukradli avto in z njim oddivjali do Trsta. https://t.co/kfxe7oD7ft
0,0,"Poslanstvo države ni v tem, da jemlje pridnim, poštenim in neumnim ter daje lenim, zvitim in pametnim."
0,0,@mrevlje @AllBriefs Tik pred mejo bo itak kmalu le še puščava z nekaj zasebnimi oazami za visokimi ograjami!
0,0,"10% letna rast najemnin v LJ. Uf, pišuka! Bogi, res bogi ljudje, ki morajo to furati. NEZADOSTNO, za vso državno politiko v sam. Sloveniji!👎"
0,0,Basistkin nasmeh tam okoli 30. sekunde ... Mona Liza nima za brioš! Zeal &amp; Ardor - Devil is Fine https://t.co/2UOJMzDBcG #muzika
0,0,@Demokracija1 Madzar se nima kaj mešat v naš tisk! Kar in pri sebi dela pri nas pač ne more. Nismo mi Orbanlandija.
1,1,@JakaDolinar2 Ko grejo ven potem hitr mejo zapret in jih ne spustimo več v Slo in smo se rešli polovico lopovov. 😁
1,4,"""Čim več je islama, več je terorizma. Za javno politiko relevanten sklep je naslednji: nič islama, nič terorizma."" https://t.co/XJjqw4Scys"
0,0,"pridni pujski, le še posadiš, poseješ, pograbiš pa je https://t.co/NV262Nc2Lv"
1,1,tv kjer so Požar Aljuš radi kažejo v nagradni igri razlika Tita Jovanko https://t.co/ZaEccwg4H6 jugo čifurija https://t.co/CcRYXqbyOy
1,1,Trdnjava Evropa – Evropo lahko reši le obramba z vsemi sredstvi! https://t.co/ab6YKwByJP via @Nova24TV
1,1,@SuzanaLovec Prepiranje s sosedi je samo dimna bomba pod katero nam vlečejo nove slovence z že pozabljenimi boleznimi iz daljnih dežel.
0,0,MGRT pripravlja Strategijo trajnostne rasti slovenskega turizma za obdobje 2017-2021. Vabljeni k sodelovanju! https://t.co/Dw6TUd5Ex2
1,4,Ekstremni islamist Nevzet Porić je grozil poslancem v ljubljanskem mestnem svetu! Podpora SSN pomeni da takšnih groženj ne bomo tolerirali.
1,1,Prihodnost evropske civilizacije ni ne v Afriki in ne v Arabiji. Prihodnost evropske civilizacije je v maternicah Evropejk.
0,0,"@DKopse Odličen tvit, domiselen in vrne v isti meri, kot je DS postregel nam."
1,3,"@lucijausaj Če sem prav obveščen, je ženski WC običajno bolj usran kot moški !"
1,3,@Alex4aleksandra @danamon1 @crico111 @FrancHimelrajh @spagetyuse Najslabše so redarke. Že na njihovih frisih vidiš kolk so žleht
1,1,"@Nova24TV @cikibucka Walda, v arabskih deželah jih uporabljajo za mooving target"
1,1,@rokomavh Evropa pripada Evropejcem. Levim opranoglavcem to ne bo nikoli samoumevno?!
0,0,"Operacija ali čakanje na meno, to je zdaj vprašanje. Mimogrede, izgubila sem se v centru Murgle. Spet. 😁"
1,1,"@ArtGotar Naj si pojejo sebi svojo yugonostalgijo! V Sloveniji se poje slovensko, v Angliji angleško, v Srbiji srbsko...!"
1,1,@LottaS10 Lotta  ne verjamem. Saj imamo v Sloveniji vsak dan vse več čefurjev.
1,1,"Peticija za razorožitev ciganov 
https://t.co/lU3mSvzoEP

https://t.co/LOaecNMqnD"
1,3,"No, pa smo končno dočakali razkritje, kateri babji lik je bil podlaga za Serpentinškove “babe zmešane”.#Bingo https://t.co/JZKfP36OEe"
1,4,@RomanVodeb Opažam zelo velik odstotek problematičnih ojdipskih očetov med muslimansko populacijo. Raje recimo bobu bob. #religionofpeace
0,0,@BSkelaSavic @donadaljnjega @strankalevica To tudi mene zanima ali  bodo lobije od zavarovalnic uspeli onemogočiti.
1,3,"@DrustvoDoor Če moški ne plačuje preživnine je  to nasilje, če ženska ne plačuje je revica nima od kje vzeti..."
0,0,"@Jure_Bajic Ne morem verjeti, da ne namestijo kamer pred take lokale, kjer se očitno  dogaja kriminal."
0,0,Naslednji ponedeljek zaženemo Parlameter. Vabljeni v Staro elektrarno na predstavitveni dogodek. https://t.co/fYCDUA0Jfm
1,2,"@_MegWhite_ Najbolj glasno tudi bentijo zoper pedre.

Kadar nimajo tiča v ustih."
0,0,@BernardBrscic Slovenski otrok noče jesti svinjine. V šolo mora prinesti zdravnišjo potrdilo. Pri unih je dovolj priimek?!
1,3,"Ta baba blesava bi spet neke manjšine delala... 
Pa kaj mi poslance volimo da delajo za to državo ali za tuje države???"
1,1,@JoeBlack444 @BigWhale take papuče + sportske novosti. klasičen ata iz juge. ok papuče bi morale bit na črte.
1,1,"Srbe smo natolkli v 10 dnevni vojni in sedaj še v košarki.
Potrebno jih bo samo še nagnati iz slovenske politike,... https://t.co/ygiQRfzzA0"
0,0,"@symru Ze za sklepe to ni dobr. Ni otrok se tako trpezen pa sestavljen, kot odrasli."
1,3,@mat3ja take reči opazite le ženske. moški tega ne bo opazil. opazil pa bo skladnost in chicq moment :)
1,4,Ne pozabit. Vso ahmedovanje ima zacetek v Bruslju in urbi et orbi povabilu Caligule.
0,0,@SOVA_0007 @isoltesEP @DominikaSvarc @JurePoglajen Stari je bil opasen raubšic...
0,0,"Naletel na znanca. Zelel, da narediva selfi.
Ful cudno. Nisem se navajen oblecen fotkat.
Ko za pasos. :)"
