title,hatespeech,subtype,text
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,A one-year suspended sentence? Wow. That's really harsh.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,Even though the woman was lying about the whole thing....LOL
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,You mean all 50?
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"This will work great, just like the bracelets they handed out that said don't touch me. Liebrals will never learn. hahahahahahaha"
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"Just say ""No."" Yeah that'll stop those nasty rapists, especially the Muslims."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"How does one say ""NO"" in Arabic ?"
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"No idea, but an M16A4 will translate any language into Arabic."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,GLOCK
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"Women aren't allowed to say ""NO"" in arab countries."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,7.62 x 39 mm
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,I think it sounds the same as an M4 bolt chambering a round.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,My Lilly Esin once in a blue moon got a new choice of the crop Chevrolet Corvette Stingray Coupe by unavailable off of a laptop... Flash it out.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"That's it pass more laws, you know cause paper and ink prevents crime."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"Ignorant troll. No one said the new law will prevent crime, just that it will make it easier to prosecute criminals --- which is a good thing."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,no habla deutch.... No means white chicks want you more in Arabic mongrelland German politicians that approved of the refugee invaders are responsible for each and every crime committed by these mongrels! German citizens should kick all politicians and refugee invaders OUT!.
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"German citizens elected Merkel, who LOVES Muslims - and until German citizens take their country back, they are responsible for what happens."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,is she related to BroBama ?
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,when no doesn't work...it is advisable to have some way to protect yourself
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"How about very sharp, steel tipped shoes. Give the sand monkey several hard kicks in the groin and it will know the meaning of ""NEIN"" !"
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"don't think so because these muzzieazzholes are battle-hardened, decades of being kicked by sheep and goats made them numb"
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,A really sharp knife and it will only happen once ...............
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"Germany, another of those wonderful liberal socialist countries where citizens can't carry guns..."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"Imagine that, Muslims are the problem...?"
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,Merkels legacy. soon to come to your city.
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"We're armed, Rufus!"
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,Do you really need a law to establish that no means no? Apparently so. Humanity has reached a sad state.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,STUPID Politicians seeking relevancy to the stupid sheeple!
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"Learn to read. Previous law required a victim to put up a physical struggle before the rapist could be prosecuted.. The new law only requires her to say ""no""."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,So if they are alone who has to prove it was said?
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,Government is the impossibility of reason........... Platoon
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,The Germans invited this filth into their once-great nation by electing Merkel -- and handed law and order over to the EU bureaucrats in Brussels. Now they are too timid to take their country back.
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"Until the whole world recognizes Islam for what it is, HATE SPEECH, this type of barbarism will only go on. The Muslims feel it is their right to obey only the laws that they agree with. Sexist attitudes against women are a core belief of Islam."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"If Islam was only hate speech, they wouldn't be a problem, just an annoyance. Unfortunately Islam preaches, teaches, demands, applauds and rewards violent behavior. That is much worse than speech."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,If it's not written in Sharia law (and it's NOT) then they (Muslims) ultimately won't care.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,It's a shame that you have no idea what you are talking about.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"Why are liberals always against deporting foreign criminals? They must support their crimes, I guess."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"Liberal elites -- insulated from these crimes -- don't care if we get hurt, just so they can feel all tolerant and all."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,Liberals are always pandering for votes from criminals.
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,The only thing musIims understand clearly is a good azzkicking.
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"The law wasnt the problem, its the rapist members of a peaceful religion."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,neuter rapists
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,Yes please.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,That includes Bill Clinton and Bill Cosby!
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"The Germans better realize real quick that you can't put a ""no means no"" law in sharia law."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"How about ""Just say no more muslims"" ?"
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,You can expel the Muslims too. That's the problem. They don't care about your laws.
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"Of course no means no. But not to a mooh-slum. Germany allowed these terrorist into their country, now live with it."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,I get the impression that the German people really didn't have much of a say in it. Just another of example of Merkel/Obama progressivness.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"No say? They elected Merkel, in large numbers."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"No the people didn't the LOUSY LEADER DID, just like ODUMBO IS DOING HERE!"
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,There is no law that will civilize the uncivilized.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,So Americans will never improve then..
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"This law will work: God made everyone, Samuel Colt made them all equal."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"Except in Germany, where Colt, Browning, Luger, et al. are not allowed to practice their function."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"Yes there is, it's called capital punishment."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"The problem was never the law or lack of a law, it was the immigrants the politicians let into the country."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,And its the reason-one of them anyway that some Muzlim countries do not even allow one of these scumbags into their country. NOT ONE! They knew what would happen with these uncivilized animals and what they would do and they did exactly that to the women -young girls- and even have raped men. They should never be allowed out of their sand boxes.
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"That just isn't going to work. How many different languages do German women need to learn to say ""no"" in? I'd assume Arabic would be a key one."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,hot high speed lead is an international language
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,They should allow the German women weapons to protect themselves.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"Or......fathers, brothers, cousins of the women should protect them. How about that?"
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,Sounds like Islam...a woman cannot leave her house unless accompanied by a male relative.
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,Then let them get raped. I don't really care. Go near one of the women in my family though. Different story.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"If in an Islamic country the raped woman is considered to have dishonored her family and subject to beatings by her family if not subjected to an ""honor killing""."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,Add to that....if they do protect the women--there should be no prosecution for them for what they do to these scumbags.
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,This is a religion that condones the treating of women as chattel. You let them into your country. What did you expect??
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"Saying ""no"" does not stop rapists. Keeping droves of men with ""raping"" mentality out of the country and arming people for self defense will help curb the rapes."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,You can make all the laws you want. They won't control savages. You can dress an animal up like a man; it doesn't make it a man.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,See NFL
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,if u have a job...do it right. they are in demand now and we don't need blackasses acting like monkeys. GIT ur ACT TOGETHER.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"""No"" should have always meant no. Just enforce laws and stop procrastinating and avoiding doing your job !!"
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"And this is the vaunted ""European Society"" America's liberals want us to emulate?"
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,Feel the bern
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"Bernie can feel himself, thank you."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,doesn't remember where it is..
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"""On Thursday, a local court in Cologne handed down the first conviction for a sexual offense on New Year's Eve. A 21-year-old Iraqi man was convicted of sexual assault and given a one-year suspended sentence. A 26-year-old Algerian man was convicted of abetting a sexual assault and attempted assault, and given the same sentence."" That is some aggressive sentencing there, I am absolutely certain that will deter such behavior from them in the future."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"This would be a very reasonable sentence if it had one caveat, namely, boiling these subhuman scumbags in pig blood."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,It's about time! Good lord!
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"Instead of passing these silly laws, just get rid of the sand knee grows"
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,???
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,we need to dig him up
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,Merkel let these slugs in for the sake of 'humanity' with zero vetting. How about protecting your own citizens for a change?
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,Merkel is a human failure in every sense.
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"In the US, gun control is not the answer...BLACK control is the ANSWER."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,Too things I hate the most. Hoplophobes and Racists.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"""Too?"". Better add grammar checkers to your list."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,what's a hoplophobe? someone that hates bunnies?
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"I am all for gun control - use both hands, aim center mass, squeeze slowly."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,Another civilized country being destroyed by brown invaders.
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,Hundreds of women were raped and molested in the New Year's Eve travesty. And only ONE conviction so far? This only became a problem when Germany opened its borders to hordes of women-hating Muslims.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"And he was given a one year, suspended sentence. Hardly a deterrent."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,Hard to punish a people that view women as their toys. Their religion allows this.
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"It's not a religion. It's a cult of hate, death and destruction."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,Agreed
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"first immigrate them, then seduce them and then get them into acts where they dont want to hear NO. And then get them to jail if they are not submissive."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"nice, but it doesn't help these women who were physically assaulted."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,The great German nation brought this on itself. And its citizens pay the price for letting barbarians in unchecked.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,Why do they keep Merkel in office. The woman is a disaster for Germany. She knows nothing and does everything to hurt her country
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,She sounds like Hillary.
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,And Oblama
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,but barry loves her...
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"Let me wrap my mind around this. A woman was raped by two men and a video shows her saying no and now she's on trial?? Yeah, we need European style justice here in America. And let me venture a guess. The opposition to the change that will allow deportation of these savages is the liberal wing of the equivalent to our own Democratic Party."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"In this case, the liberal wing you're referring to is in Brussels."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,And people wonder why England voted FOR Brexit?
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,hasent no been on the books forever
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,But it has never been defined. /sarc
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"depends on what the meaning of ""is"" - 'is""."
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,Huh???
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"Now we have reverse discrimination, BIG TIME because of this PERCEIVED PROBLEM that our DEAR LEADER intended to remedy by EXECUTIVE FIAT! Just another reason why there should not be a federal department of education that doles out OUR OWN TAX MONEY and makes the states JUMP THROUGH HOOPS TO GET IT! Don't you think ENOUGH IS ENOUGH!"
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,Think for yourself for once.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,I always do there is no bigger lie than equal rights for all
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,You're becoming far too repetitive.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,you never do that Sharon?
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"Honestly, who is Sharon? I don't get the joke."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,so far thats you
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,You think my name is Sharon? OK?
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,glad you told us your name
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"Seeing as that's not my name, nor did I ever say it was, I still have no idea what you're trying to say."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,you just now said it was
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"Well no, I didn't. So again, what in the world are you saying?"
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,its nice to know your real name. its a pretty female name
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"Ah, okay. You wish I was a woman. That's cr⁠e⁠epy, Wayne. Keep your fan⁠tas⁠ies to yourself."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",1,3,so you admit being a woman?
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"You've made it quite clear you're hoping I'm a woman. That's sa⁠d, Wayne. You need help."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"I came back to my post and saw ""16 replies"" and actually thought ""Wow, maybe my post generated some interesting conversation."" Then I clicked on it. OMG. Sharon was probably his third wife...and second daughter."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"Nah, he didn't come up with that one himself either.@cuss did and he's been parroting it. Like I said, he's not capable of an original thought."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"He's not capable of any thought, period!"
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,none that is a vote for Hilary
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,Republicans en masse are getting ready to turn their back on Trump the way they did on Bob Dole in '96 when it was clear he couldn't win against Bill Clinton.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,no the opposite your polls poll mostly Democrats who can't stand Hilary who matters because of that cigar
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,The polls are accurate Wayne. Pollsters compete with each other for contracts and as a result focus on accuracy. They have no problem predicting elections within the margin of error. A couple like Fox and Rasmussen have a Republican house effect of around 3 points. A couple like PPP have a Dem house effect of around 3. The polls say Trump isn't doing very well. Worse than they said McCain and Romney were doing at this same time. EVEN Fox's polls.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,why does that Neke Silver say that Trump will win by 57 percent?? they can easily find Democrats in Manhattans. but they don't like Hilary at all not many do
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",1,3,"If Trump ever endorses violence against liberals, I will comply with his wishes, gladly."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",1,3,I think we all will come Nov 8
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,This is why you need help. You need to be in asylum before you hurt someone.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,you do since I thought you did not like HRC that is a lie obviously
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,Hopefully the authorities come for you before election day.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,The latest projections are the Orange Clown loses in a landslide.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,Here's hoping he brings as many Republicans down with him as possible.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,nope the Dems will dump Hilary like they dumped Carter in 80
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,Source?
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,They dumped Carter because he couldn't resolve the hostage crisis and inflation was out of control...after he was in office four years. Now why are they going to dump Hillary?
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,His overlords haven't told him that one yet.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"See what I mean? No answer, just repetition of the original statement."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,nope a VOTE for hilary is what your only answer would be
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"No, any answer to the question would be a fine answer."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",1,3,nope because the Dems rejected Carter and will do the same to Hilary. they want no more four years of Monica Lewinski
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",1,3,Monica Lewinski lol.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,why not? she is why Hilary matters
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",1,3,Liberals can't distinguish men from women. Nor do they want to.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",1,3,Cons can't distinguish morality from the rantings of a barbaric ancient middle eastern desert tribe.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,and liberals use that same book and blast Christians day and night falsely
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,Freedomscout thinks the public schools are like Pink Floyd's The Wall.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,I wish he'd publish his book already and stop spamming here.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,and the left wants homeschooling banned. :)
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,Not me.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,He's just spouting off the nonsense he hears on TV. He's not capable of critical thought.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"Or it was conservative talk radio. A caller into Han nity says it and Han nity says ""Oh you're right. You're right."" And then they run around to friends and family wringing their hands as the repeat it as fact."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"Given small handful of names that appear in Wayne's tweets, it's definitely FOX."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,I know SB (sharon) does
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,I would like to see the quote.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,Don't hold your breath.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,just replied to me below. Read it if you dare. It's so sad.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",1,3,I don't bother reading his posts. Everything coming from a creationist is nonsense.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,I wonder which of your favorite talking heads just said that on TV.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"I agree that people should use the public bathroom that fits their actual gender, but what harm to society is caused by someone being transgender?"
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",1,3,"The ones harmed the most are the children who are taught in government schooling that ""transgenderism"" is a valid description of a true reality. First, the very fact that ""transgenderism"" is not a true reality in itself but a condition of mind makes the claim of validity false...thus being deceptive for the children, youth, adolescents and adults who are deceived by it. Deception about anything critically important in the learning, growth, self-understanding and self-appreciation, and view of the civil society is evil and must be refused and refuted. To confuse children and youth, especially on the issues of their own nature is inexcusable and abusive to them. Because the falsehoods regarding ""transgenderism"" are being foisted on the culture by intention and willing complicity, the evil effects are widespread and become repeated in social media of all kinds.The result for stability of family and civil society is degradation of both."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"Seriously, your denial of transgenderism as a ""real thing"" is quite dangerous as is the condemnation of anyone who is struggli g with identity issues because they are born that way or develop differently due to hormones and biology."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",1,3,"Transgenderism is just that, an ""ism"", meaning it is a condition of mind not based on reality. So when I say ""real thing"" I'm referring to the reality that such a person is confused because they think in their minds they are something which they are not in reality. Condemnation of such confused people isn't appropriate though either, precisely because they are confused and their inner motivations which bring on that confusion are something they don't understand themselves."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"""Trangenderism"" is real. Does it mean someone's gender has actually changed? No, but that doesn't make it less real. You mention evil effects. What are they? Be specific, not just something like it's evil or wrong."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",1,3,"To call some confusion of mind ""real"" distorts the discussion, as I tried to make clear that the confusion phenomena is real, i.e. that the person is really confused. So what is real is in opposition to what the confused person believes is real. When I refer to ""evil"" effects, I'm not using the term generically very often but to indicate a moral form of something that is inherently evil. However, I suspect you are looking for the human consequences that are harmful to the subject (victim) and to families and civil society. Is that the case?"
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"Either way. Yes, how does it harm the individual and society? And, generically, what makes it inherently evil?"
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"The harm to the person who is confused about their own sexuality should be obvious, but sadly political correctness has suppressed much of the truth about it. On the face of it, it's inherently harmful for a person to be confused about anything where reality is involved, because the confusion causes them to react to reality erroneously, making decisions that are, at least, not in their best interest and that are, at worst, very harmful to their lives and wellbeing."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"How will you go about ""curing"" them? They have tried many different kinds of therapy with them. The only best solution for now is to help them transition. Forcing them to be ""normal"" will have them end up in depression, various problems and possibly suicide."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"Also they are not ""confused"" as they are well aware of their own bodies."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",1,3,"There is a common misconception that one can somehow ""force"" a confused person out of their confusion. That seldom works, although there are some conditions where various forms of coercion may be effective...and may raise ethical concerns.Transgenderism, like all of the other sexual confusions and perversions, is inherently depressive to the individual, with other inner self harmful effects also...sometimes resulting in suicide. These are all very sad effects and consequences...and need core inner remedies not pandering, sheltering or accommodating. These confusions and perversions are inherently mental, not sourced in the physical nature itself...speaking generally and referring to the great majority of cases. The problem with most of psychology is that it categorizes ""mental"" as physical, of the brain, instead of the ""mind"". That's why secular psychology has no answers for these conditions, as permanent correction of the core cause. However, well versed psychologists and counselors who understand the mind as being part of the core spirit nature of the human being, human person, treat the person very differently, with an understanding of volition which dynamically changes the process of treatment and dynamically results in core therapy and lasting benefit, true healing of the person to live normally as they truly are in harmony with their physical self."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",0,-1,"Again you have not given any viable solution. The ""spiritual counseling"" have been done many times before. The depression comes from the fact that people like you will not accept them as who they are and instead want to force them to conform to what is your idea of reality."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",1,3,"The depression doesn't come from outside for these persons, but from their inner confusion about their own nature and value. It can be accentuated by outside influence that is demeaning, of course. But the depression source is internal to the person themselves, and is alleviated when they come to understand some core concepts about their nature as human persons as well as their physical nature. I suppose that what you conceive as ""spiritual counselling"" is simplistic recitation of Scripture and platitudes, along with sessions of prayer, etc. What I'm actually referring to is very deep counseling, working inward from the objective self-concepts of the person as God's created being of immense worth and value, to both God and the rest of humanity. But the subject does not easily acclimate to these concepts when they are so confused. It takes a great deal of patience and explanation on various levels of understanding that fit the subject's own initial perceptions and beliefs, helping them to understand where they are in error in their concepts and understanding...and why their understanding is erroneous. Essential in this process is the understanding imparted to the subject that they can choose to believe differently, and choose to redirect their own thinking patterns, actually modifying their brain structure over time. The resulting symbiosis between purposed thought and changes in the brain result in true long lasting, permanent, healing."
